Creating 1 workers...
Opening file... beginning processing...
	 Frame 5390,	Number of micelles: 13
	 Frame 5400,	Number of micelles: 15
	 Frame 5410,	Number of micelles: 12
	 Frame 5420,	Number of micelles: 15
	 Frame 5430,	Number of micelles: 14
	 Frame 5440,	Number of micelles: 16
	 Frame 5450,	Number of micelles: 14
	 Frame 5460,	Number of micelles: 14
	 Frame 5470,	Number of micelles: 17
	 Frame 5480,	Number of micelles: 12
	 Frame 5490,	Number of micelles: 12
	 Frame 5500,	Number of micelles: 18
	 Frame 5510,	Number of micelles: 10
	 Frame 5520,	Number of micelles: 15
	 Frame 5530,	Number of micelles: 14
	 Frame 5540,	Number of micelles: 12
	 Frame 5550,	Number of micelles: 12
	 Frame 5560,	Number of micelles: 9
	 Frame 5570,	Number of micelles: 13
	 Frame 5580,	Number of micelles: 13
	 Frame 5590,	Number of micelles: 12
	 Frame 5600,	Number of micelles: 10
	 Frame 5610,	Number of micelles: 13
	 Frame 5620,	Number of micelles: 8
	 Frame 5630,	Number of micelles: 11
	 Frame 5640,	Number of micelles: 15
	 Frame 5650,	Number of micelles: 11
	 Frame 5660,	Number of micelles: 13
	 Frame 5670,	Number of micelles: 13
	 Frame 5680,	Number of micelles: 16
	 Frame 5690,	Number of micelles: 16
	 Frame 5700,	Number of micelles: 14
	 Frame 5710,	Number of micelles: 9
	 Frame 5720,	Number of micelles: 9
	 Frame 5730,	Number of micelles: 15
	 Frame 5740,	Number of micelles: 13
	 Frame 5750,	Number of micelles: 14
	 Frame 5760,	Number of micelles: 18
	 Frame 5770,	Number of micelles: 18
	 Frame 5780,	Number of micelles: 9
	 Frame 5790,	Number of micelles: 14
	 Frame 5800,	Number of micelles: 11
	 Frame 5810,	Number of micelles: 13
	 Frame 5820,	Number of micelles: 14
	 Frame 5830,	Number of micelles: 11
	 Frame 5840,	Number of micelles: 10
	 Frame 5850,	Number of micelles: 19
	 Frame 5860,	Number of micelles: 16
	 Frame 5870,	Number of micelles: 15
	 Frame 5880,	Number of micelles: 14
	 Frame 5890,	Number of micelles: 19
	 Frame 5900,	Number of micelles: 13
	 Frame 5910,	Number of micelles: 15
	 Frame 5920,	Number of micelles: 19
	 Frame 5930,	Number of micelles: 14
	 Frame 5940,	Number of micelles: 14
	 Frame 5950,	Number of micelles: 13
	 Frame 5960,	Number of micelles: 19
	 Frame 5970,	Number of micelles: 12
	 Frame 5980,	Number of micelles: 14
	 Frame 5990,	Number of micelles: 10
Processing complete.
Ttl time: 119.988312006
